date,equity,open_positions,regime_ok
2005-03-23,1000000.0,0,1
2005-03-24,1000000.0,0,1
2005-03-28,1000000.0,0,1
2005-03-29,1000000.0,0,1
2005-03-30,1000000.0,0,1
2005-03-31,1000000.0,0,1
2005-04-01,1000000.0,0,1
2005-04-04,1000000.0,0,1
2005-04-05,1000000.0,0,1
2005-04-06,1000000.0,0,1
2005-04-07,1000000.0,0,1
2005-04-08,1000000.0,0,1
2005-04-11,1000000.0,0,1
2005-04-12,1000000.0,0,1
2005-04-13,1000000.0,0,1
2005-04-15,1000000.0,0,1
2005-04-18,1000000.0,0,1
2005-04-19,1000000.0,0,1
2005-04-20,1000000.0,0,1
2005-04-21,1000000.0,0,1
2005-04-22,1000000.0,0,1
2005-04-25,1000000.0,0,1
2005-04-26,1000000.0,0,1
2005-04-27,1000000.0,0,1
2005-04-28,1000000.0,0,1
2005-04-29,1000000.0,0,1
2005-05-02,1000000.0,0,1
2005-05-03,1000000.0,0,1
2005-05-04,1000000.0,0,1
2005-05-05,1000000.0,0,1
2005-05-06,1000000.0,0,1
2005-05-09,1000000.0,0,1
2005-05-10,1000000.0,0,1
2005-05-11,1000000.0,0,1
2005-05-12,1000000.0,0,1
2005-05-13,1000000.0,0,1
2005-05-16,1000000.0,0,1
2005-05-17,1000000.0,0,1
2005-05-18,1000000.0,0,1
2005-05-19,1000000.0,0,1
2005-05-20,1000000.0,0,1
2005-05-23,1000000.0,0,1
2005-05-24,1000000.0,0,1
2005-05-25,1000000.0,0,1
2005-05-26,1000000.0,0,1
2005-05-27,1000000.0,0,1
2005-05-30,1000000.0,0,1
2005-05-31,1000000.0,0,1
2005-06-01,1000000.0,0,1
2005-06-02,1000000.0,0,1
2005-06-03,1000000.0,0,1
2005-06-06,1000000.0,0,1
2005-06-07,1000000.0,0,1
2005-06-08,1000000.0,0,1
2005-06-09,1000000.0,0,1
2005-06-10,1000000.0,0,1
2005-06-13,1000000.0,0,1
2005-06-14,1000000.0,0,1
2005-06-15,1000000.0,0,1
2005-06-16,1000000.0,0,1
2005-06-17,1000000.0,0,1
2005-06-20,1000000.0,0,1
2005-06-21,1000000.0,0,1
2005-06-22,1000000.0,0,1
2005-06-23,1000000.0,0,1
2005-06-24,1000000.0,0,1
2005-06-27,1000000.0,0,1
2005-06-28,1000000.0,0,1
2005-06-29,1000000.0,0,1
2005-06-30,1000000.0,0,1
2005-07-01,1000000.0,0,1
2005-07-04,1000000.0,0,1
2005-07-05,1000000.0,0,1
2005-07-06,1000000.0,0,1
2005-07-07,1000000.0,0,1
2005-07-08,1000000.0,0,1
2005-07-11,1000000.0,0,1
2005-07-12,1000000.0,0,1
2005-07-13,1000000.0,0,1
2005-07-14,1000000.0,0,1
2005-07-15,1000000.0,0,1
2005-07-18,1000000.0,0,1
2005-07-19,1000000.0,0,1
2005-07-20,1000000.0,0,1
2005-07-21,1000000.0,0,1
2005-07-22,1000000.0,0,1
2005-07-25,1000000.0,0,1
2005-07-26,1000000.0,0,1
2005-07-27,1000000.0,0,1
