date,equity,open_positions
2005-03-23,999926.127424014,1
2005-03-24,999977.8380105619,2
2005-03-28,1000029.5478532438,2
2005-03-29,999748.8351533536,2
2005-03-30,999948.2886788968,2
2005-03-31,1001409.0954993748,4
2005-04-01,1000700.4428010195,10
2005-04-04,1003146.2747184609,15
2005-04-05,1001954.4333606159,16
2005-04-06,1002292.3234627657,18
2005-04-07,1001307.4604596725,19
2005-04-08,999656.6958880058,19
2005-04-11,997603.9252727857,19
2005-04-12,1000539.7769442011,21
2005-04-13,1002202.2031601154,23
2005-04-15,995836.5665492498,23
2005-04-18,993653.1850614034,23
2005-04-19,994235.2703000986,23
2005-04-20,998384.9722388108,26
2005-04-21,1001883.0673045693,29
2005-04-22,1005163.0703321315,30
2005-04-25,1005528.5778954193,34
2005-04-26,1008179.4255673621,35
2005-04-27,1005426.1313278531,35
2005-04-28,1006137.7682560441,37
2005-04-29,998110.9791223315,36
2005-05-02,994062.8318021802,36
2005-05-03,995889.4049785641,36
2005-05-04,999325.6972724157,37
2005-05-05,1000887.0844590622,37
2005-05-06,1003887.4852760988,37
2005-05-09,1010106.8830765826,38
2005-05-10,1010428.5728620266,40
2005-05-11,1012763.4899914912,44
2005-05-12,1018749.3279404982,52
2005-05-13,1026224.2703533515,52
2005-05-16,1029188.0968946782,59
2005-05-17,1022190.015237507,59
2005-05-18,1024352.5229707328,59
2005-05-19,1030771.9112948247,62
2005-05-20,1031937.9531543932,63
2005-05-23,1035829.0884022494,65
2005-05-24,1033662.175462224,65
2005-05-25,1037358.7158676954,67
2005-05-26,1038014.3922322334,69
2005-05-27,1032805.6524872889,72
2005-05-30,1025850.1215153069,72
2005-05-31,1027952.5284465014,74
2005-06-01,1035939.7631568871,77
2005-06-02,1035288.9272428958,78
2005-06-03,1038854.7632880813,81
2005-06-06,1047135.1062762182,85
2005-06-07,1055455.221708183,87
2005-06-08,1053672.014273823,92
2005-06-09,1052985.6334437337,96
2005-06-10,1046816.5703888069,97
