symbol,entry_date,exit_date,entry_price,exit_price,shares,position_size,pnl,return_pct,exit_reason
BALRAMCHIN,2005-03-24,2005-04-27,51.1425323008861,44.8917802642923,195,9972.79379867279,-1218.8966471357908,-12.222218485034809,trail_stop
ICICIBANK,2005-04-05,2005-04-29,58.65541869698388,51.63921948526675,171,10030.076597184243,-1199.7700652036292,-11.961723857028591,trail_stop
LICHSGFIN,2005-04-27,2005-05-26,37.25455801591153,31.18203015154268,270,10058.730664296112,-1639.5825233795877,-16.30009370068288,trail_stop
KEC,2005-04-04,2005-05-30,32.67679439906235,33.8320394459766,306,9999.09908611308,353.504984355759,3.535368349801762,trail_stop
POONAWALLA,2005-04-15,2005-06-10,12.446674787735539,15.741891446788031,804,10007.126529339374,2649.3541938782037,26.47467468419331,trail_stop
BEML,2005-04-04,2005-06-16,140.70404196181232,209.716053939507,71,9989.986979288675,4899.852850416322,49.04764000768708,trail_stop
CGPOWER,2005-04-01,2005-06-17,1.1826877383634808,1.2729488825461044,8457,10001.990203339958,763.3384963524477,7.631866066990814,trail_stop
CEMPRO,2005-04-04,2005-06-17,34.41365853004753,32.204227447509766,291,10014.374632243831,-642.9444450184892,-6.420215626329434,trail_stop
UNITDSPR,2005-04-06,2005-06-17,54.36351775031322,54.19105066936477,184,10002.887266057633,-31.733942894514257,-0.3172478310556961,trail_stop
SPLPETRO,2005-04-21,2005-06-17,10.67528623565277,9.998975116474458,935,9981.39263033534,-632.3508964317225,-6.335297286171156,trail_stop
SAREGAMA,2005-04-26,2005-06-17,11.36250173122142,10.098115800319425,885,10055.814032130957,-1118.9815488482654,-11.127707267386079,trail_stop
AEGISLOG,2005-05-13,2005-06-17,3.907818293072107,3.5428025807962964,2608,10191.590108332055,-951.9609776153138,-9.340652120978115,trail_stop
GODREJIND,2005-05-13,2005-06-17,24.98659462069726,31.469939909792032,407,10169.544010623786,2638.7215326615715,25.947294489359468,trail_stop
INDIACEM,2005-04-05,2005-06-20,61.02283418948928,60.18860881843433,164,10007.744807076242,-136.81296085301074,-1.3670708385397028,trail_stop
BEL,2005-04-25,2005-06-20,5.716736741709367,5.177421210490056,1758,10050.023191925067,-948.1167038835483,-9.433975283214624,trail_stop
DCMSHRIRAM,2005-05-12,2005-06-20,38.36493236452227,35.704613370742415,264,10128.342144233879,-702.3242143578809,-6.934246536662646,trail_stop
CUB,2005-05-23,2005-06-20,3.2376187698081647,2.953908706414735,3187,10318.291019378621,-904.1839720348617,-8.762923727744527,trail_stop
ASAHIINDIA,2005-05-26,2005-06-20,92.20365998589729,89.83802437280558,112,10326.809918420497,-264.95118866627126,-2.5656634600552035,trail_stop
EICHERMOT,2005-05-26,2005-06-20,28.18488520260686,23.27576937399695,368,10372.037754559326,-1806.554624928447,-17.417547715098937,trail_stop
VOLTAS,2005-04-26,2005-06-21,1.5712808850168012,1.5589574004880908,6403,10060.911506762577,-78.90727143733238,-0.7842954525968526,trail_stop
CANFINHOME,2005-06-09,2005-06-21,6.6945771096770805,6.14982321267306,1574,10537.264370631725,-857.4426338843277,-8.137241353401887,trail_stop
JUBLPHARMA,2005-04-04,2005-06-22,19.523592470997038,19.373165438755038,513,10015.602937621481,-77.16906754014599,-0.7704884870213535,trail_stop
RKFORGE,2005-05-17,2005-06-22,12.875479914955553,12.114972676838637,800,10300.383931964443,-608.4057904935344,-5.9066321654818355,trail_stop
BLUESTARCO,2005-05-11,2005-06-23,22.329189210426744,21.996467850371165,452,10092.793523112889,-150.39005474512305,-1.490073629275423,trail_stop
ENGINERSIN,2005-05-13,2005-06-24,18.953447710384708,17.708339381265397,537,10178.001420476588,-668.6231727370705,-6.569297302237574,trail_stop
JKTYRE,2005-04-07,2005-06-28,16.972476411505287,13.872842742611985,590,10013.76108278812,-1828.783864647049,-18.26270718392118,trail_stop
KIRLOSENG,2005-04-26,2005-06-28,69.7039722339527,89.30822249284878,144,10037.37200168919,2823.012037281036,28.125011574802162,trail_stop
PCBL,2005-05-17,2005-06-28,5.758498163675882,5.4580540073280535,1790,10307.711712979828,-537.7950398626126,-5.217404743531995,trail_stop
IOB,2005-06-09,2005-06-29,63.37247276860319,54.75086452071443,166,10519.830479588129,-1431.186969149534,-13.604658097167052,trail_stop
PATANJALI,2005-05-30,2005-07-07,1713.598950262492,1517.8462349578053,6,10281.593701574951,-1174.5162918281203,-11.423484781821381,trail_stop
CHOLAHLDNG,2005-06-02,2005-07-07,30.0497629426616,29.127261369696285,344,10337.11845227559,-317.34054110006764,-3.069912979764772,trail_stop
HCLTECH,2005-04-04,2005-07-14,27.457667408027206,26.411076957603253,364,9994.590936521903,-380.9589239543184,-3.811650985757015,trail_stop
CASTROLIND,2005-03-28,2005-07-29,22.339862823486328,22.57777214050293,447,9985.918682098389,106.3454647064209,1.0649542429888286,hwm_stop
NCC,2005-04-01,2005-07-29,27.73070165568742,43.742286682128906,360,9983.052596047472,5764.170609518935,57.73955965934816,hwm_stop
TATAELXSI,2005-04-04,2005-07-29,61.375001988893224,66.21247100830078,163,10004.125324189596,788.5074501634317,7.881822994128738,hwm_stop
APOLLOHOSP,2005-04-05,2005-07-29,165.99446983229944,168.25048828125,60,9959.668189937967,135.36110693703267,1.3590925355704622,hwm_stop
CARBORUNIV,2005-04-05,2005-07-29,28.214349371781775,36.37118148803711,355,10016.09402698253,2895.675401270644,28.910225817269026,hwm_stop
SONATSOFTW,2005-04-05,2005-07-29,4.79783017875748,4.897462844848633,2092,10037.060733960649,208.43153746269127,2.076619271192192,hwm_stop
CRISIL,2005-04-07,2005-07-29,49.873505490822964,74.76373291015625,201,10024.574603655416,5002.935711285991,49.90671334284542,hwm_stop
SRF,2005-04-08,2005-07-29,12.195278041785555,29.660371780395508,821,10012.323272305941,14338.841959398771,143.21193562596974,hwm_stop
BAJFINANCE,2005-04-13,2005-07-29,1.329717011586716,2.3266992568969727,7524,10004.790795178451,7501.294413714371,74.97702418054983,hwm_stop
CHOLAFIN,2005-04-13,2005-07-29,15.884131473575865,22.586912155151367,629,9991.118696879219,4216.049048710991,42.19796778140467,hwm_stop
ITC,2005-04-15,2005-07-29,16.30565743701525,19.779916763305664,614,10011.673666327362,2133.1952263423154,21.307079090252124,hwm_stop
JINDALSAW,2005-04-21,2005-07-29,23.027790771987494,28.009693145751953,433,9971.033404270585,2157.1637278400103,21.634304493615463,hwm_stop
NESTLEIND,2005-04-21,2005-07-29,435.1564636230469,435.1564636230469,22,9573.442199707031,0.0,0.0,hwm_stop
ABREL,2005-04-22,2005-07-29,219.4432297066038,249.0255126953125,45,9874.945336797171,1331.2027344918915,13.48060864227176,hwm_stop
FINCABLES,2005-04-22,2005-07-29,31.106279997857897,40.44766616821289,322,10016.222159310242,3007.9263468543086,30.030547436074905,hwm_stop
SIEMENS,2005-04-22,2005-07-29,85.88333438740887,97.09618377685547,116,9962.466788939428,1300.6905291758067,13.055908307969116,hwm_stop
VTL,2005-04-26,2005-07-29,21.119339393675276,27.06576919555664,476,10052.80555138943,2830.5005856955304,28.156324831174295,hwm_stop
SCHAEFFLER,2005-04-28,2005-07-29,36.06995854723379,39.206478118896484,278,10027.448476130994,871.9524409222286,8.695656158172193,hwm_stop
ARE&M,2005-04-29,2005-07-29,5.970219824001425,7.560540199279785,1685,10059.8204034424,2679.689832344038,26.637551416196924,hwm_stop
SUNPHARMA,2005-04-29,2005-07-29,41.027190534533936,49.511451721191406,245,10051.661680960815,2078.6439907310796,20.679605588679014,hwm_stop
HAVELLS,2005-05-05,2005-07-29,6.8814490917347815,12.856343269348145,1452,9991.864081198903,8675.546345894603,86.82610447252644,hwm_stop
COLPAL,2005-05-10,2005-07-29,70.59624877149383,73.96269226074219,143,10095.263574323619,481.4014189625141,4.768586926119638,hwm_stop
EIHOTEL,2005-05-11,2005-07-29,34.73796641537746,39.162105560302734,290,10074.010260459463,1283.0003520283299,12.73574593291921,hwm_stop
ELGIEQUIP,2005-05-12,2005-07-29,10.21975099361805,10.937518119812012,991,10127.773234675487,711.3072220582162,7.023332825253643,hwm_stop
GODREJCP,2005-05-12,2005-07-29,21.80163334674729,26.339096069335938,464,10115.957872890744,2105.3827032811314,20.812489827811984,hwm_stop
