symbol,entry_date,exit_date,entry_price,exit_price,shares,position_size,pnl,return_pct
BALRAMCHIN,2005-03-24,2005-04-27,51.1425323008861,44.8917802642923,195,9972.79379867279,-1218.8966471357908,-12.222218485034809
ICICIBANK,2005-04-05,2005-04-29,58.65541869698388,51.63921948526675,171,10030.076597184243,-1199.7700652036292,-11.961723857028591
LICHSGFIN,2005-04-27,2005-05-26,37.25455801591153,31.18203015154268,270,10058.730664296112,-1639.5825233795877,-16.30009370068288
KEC,2005-04-04,2005-05-30,32.67679439906235,33.8320394459766,306,9999.09908611308,353.504984355759,3.535368349801762
POONAWALLA,2005-04-15,2005-06-10,12.446674787735539,15.741891446788031,804,10007.126529339374,2649.3541938782037,26.47467468419331
BEML,2005-04-04,2005-06-16,140.70404196181232,209.716053939507,71,9989.986979288675,4899.852850416322,49.04764000768708
CGPOWER,2005-04-01,2005-06-17,1.1826877383634808,1.2729488825461044,8457,10001.990203339958,763.3384963524477,7.631866066990814
CEMPRO,2005-04-04,2005-06-17,34.41365853004753,32.204227447509766,291,10014.374632243831,-642.9444450184892,-6.420215626329434
UNITDSPR,2005-04-06,2005-06-17,54.36351775031322,54.19105066936477,184,10002.887266057633,-31.733942894514257,-0.3172478310556961
SPLPETRO,2005-04-21,2005-06-17,10.67528623565277,9.998975116474458,935,9981.39263033534,-632.3508964317225,-6.335297286171156
SAREGAMA,2005-04-26,2005-06-17,11.36250173122142,10.098115800319425,885,10055.814032130957,-1118.9815488482654,-11.127707267386079
AEGISLOG,2005-05-13,2005-06-17,3.907818293072107,3.5428025807962964,2608,10191.590108332055,-951.9609776153138,-9.340652120978115
GODREJIND,2005-05-13,2005-06-17,24.98659462069726,31.469939909792032,407,10169.544010623786,2638.7215326615715,25.947294489359468
INDIACEM,2005-04-05,2005-06-20,61.02283418948928,60.18860881843433,164,10007.744807076242,-136.81296085301074,-1.3670708385397028
BEL,2005-04-25,2005-06-20,5.716736741709367,5.177421210490056,1758,10050.023191925067,-948.1167038835483,-9.433975283214624
DCMSHRIRAM,2005-05-12,2005-06-20,38.36493236452227,35.704613370742415,264,10128.342144233879,-702.3242143578809,-6.934246536662646
CUB,2005-05-23,2005-06-20,3.2376187698081647,2.953908706414735,3187,10318.291019378621,-904.1839720348617,-8.762923727744527
ASAHIINDIA,2005-05-26,2005-06-20,92.20365998589729,89.83802437280558,112,10326.809918420497,-264.95118866627126,-2.5656634600552035
EICHERMOT,2005-05-26,2005-06-20,28.18488520260686,23.27576937399695,368,10372.037754559326,-1806.554624928447,-17.417547715098937
VOLTAS,2005-04-26,2005-06-21,1.5712808850168012,1.5589574004880908,6403,10060.911506762577,-78.90727143733238,-0.7842954525968526
CANFINHOME,2005-06-09,2005-06-21,6.6945771096770805,6.14982321267306,1574,10537.264370631725,-857.4426338843277,-8.137241353401887
JUBLPHARMA,2005-04-04,2005-06-22,19.523592470997038,19.373165438755038,513,10015.602937621481,-77.16906754014599,-0.7704884870213535
RKFORGE,2005-05-17,2005-06-22,12.875479914955553,12.114972676838637,800,10300.383931964443,-608.4057904935344,-5.9066321654818355
BLUESTARCO,2005-05-11,2005-06-23,22.329189210426744,21.996467850371165,452,10092.793523112889,-150.39005474512305,-1.490073629275423
ENGINERSIN,2005-05-13,2005-06-24,18.953447710384708,17.708339381265397,537,10178.001420476588,-668.6231727370705,-6.569297302237574
JKTYRE,2005-04-07,2005-06-28,16.972476411505287,13.872842742611985,590,10013.76108278812,-1828.783864647049,-18.26270718392118
KIRLOSENG,2005-04-26,2005-06-28,69.7039722339527,89.30822249284878,144,10037.37200168919,2823.012037281036,28.125011574802162
PCBL,2005-05-17,2005-06-28,5.758498163675882,5.4580540073280535,1790,10307.711712979828,-537.7950398626126,-5.217404743531995
IOB,2005-06-09,2005-06-29,63.37247276860319,54.75086452071443,166,10519.830479588129,-1431.186969149534,-13.604658097167052
PATANJALI,2005-05-30,2005-07-07,1713.598950262492,1517.8462349578053,6,10281.593701574951,-1174.5162918281203,-11.423484781821381
CHOLAHLDNG,2005-06-02,2005-07-07,30.0497629426616,29.127261369696285,344,10337.11845227559,-317.34054110006764,-3.069912979764772
HCLTECH,2005-04-04,2005-07-14,27.457667408027206,26.411076957603253,364,9994.590936521903,-380.9589239543184,-3.811650985757015
COLPAL,2005-05-10,2005-07-29,70.59624877149383,74.12691153762775,143,10095.263574323619,504.8847755571496,5.001204493969607
GILLETTE,2005-06-10,2005-07-29,541.7566355941044,513.2024777742089,19,10293.376076287983,-542.5289985780146,-5.270661389976751
JSL,2005-06-10,2005-07-29,98.93615187409043,108.51060843097977,106,10487.232098653585,1014.8923950302706,9.677409496453967
AJANTPHARM,2005-05-17,2005-08-01,5.565694650353729,5.847413303908882,1852,10307.666492455106,521.7429463841436,5.061697977578565
BBTC,2005-07-08,2005-08-08,41.68584228990146,37.824413076998276,256,10671.575626214773,-988.5258785032147,-9.263167062930206
IDBI,2005-06-03,2005-08-09,73.83973606211337,75.07865685271094,140,10337.563048695873,173.44891068365905,1.6778510550950434
BAJAJ-AUTO,2005-05-13,2005-08-23,176.8043681884758,210.76779079919052,57,10077.84898674312,1935.9150888107397,19.209606051423613
JBCHEPHARM,2005-05-17,2005-08-23,23.790069578632465,22.111788019218235,433,10301.100127547857,-726.6959152263626,-7.054546662283051
TITAN,2005-05-20,2005-08-23,12.949449336502985,20.406207761119905,795,10294.812222519873,5928.122947570451,57.583594721647266
ASHOKLEY,2005-06-09,2005-08-23,3.9891469063761598,4.119219358947811,2642,10539.326126645814,343.6514196943026,3.260658371937781
BHARATFORG,2005-06-10,2005-08-23,120.12364151612061,123.57066441610738,87,10450.756811902493,299.8909922988496,2.8695624412320084
BAJAJFINSV,2005-05-13,2005-08-24,1120.8131945338023,1318.545712505335,9,10087.318750804221,1779.5926617437926,17.641879925742536
BAJAJHLDNG,2005-05-13,2005-08-24,709.2498630817128,850.3499302002749,14,9929.498083143979,1975.4009396598703,19.894267798019442
TATACOMM,2005-06-08,2005-08-24,100.40644304100121,158.3486562916512,105,10542.676519305127,6083.932391318247,57.70766446431046
CANBK,2005-06-24,2005-08-24,25.512084056594244,26.386393391896256,406,10357.906126977263,354.96959013261767,3.4270400386048685
BAJFINANCE,2005-04-13,2005-09-08,1.329717011586716,2.17755850510849,7524,10004.790795178451,6379.1593972578285,63.7610473607514
FACT,2005-06-06,2005-09-21,32.791790688614086,31.39639370500549,317,10394.997648290666,-442.34084380392596,-4.255324135418767
TATAELXSI,2005-04-04,2005-09-22,61.375001988893224,65.50790691416354,163,10004.125324189596,673.6635028190613,6.733857093834765
SONATSOFTW,2005-04-05,2005-09-22,4.79783017875748,4.6294421639139625,2092,10037.060733960649,-352.2677270526383,-3.5096701752608865
CHOLAFIN,2005-04-13,2005-09-22,15.884131473575865,22.463534051050686,629,9991.118696879219,4138.444221231663,41.421229661942945
INDUSINDBK,2005-05-20,2005-09-22,53.08034169016366,61.353084083731176,194,10297.586287891749,1604.9120243520993,15.585322419091641
CUMMINSIND,2005-06-07,2005-09-22,62.56408905783687,66.63995664816076,167,10448.202872658756,680.6698875840921,6.514707800757718
MAHABANK,2005-06-09,2005-09-22,21.594962530873776,20.622651968368853,488,10538.341715066403,-474.4875545024024,-4.502487842314313
POONAWALLA,2005-06-20,2005-09-22,19.229415428561683,26.45958681426045,536,10306.966669709062,3875.3718627345406,37.59953812719502
ITI,2005-06-24,2005-09-22,30.899999618530273,59.0,335,10351.499872207642,9413.500127792358,90.9385136840538
HFCL,2005-07-08,2005-09-22,23.283857752981273,19.894436494849188,459,10687.290708618404,-1555.7443574826266,-14.556957416981737
AARTIIND,2005-08-09,2005-09-22,9.645809174414847,9.955598356012626,1231,11873.991093704677,381.35048254686444,3.2116453476965123
IGL,2005-08-24,2005-09-22,8.564207384784503,7.939270249795949,1410,12075.532412546148,-881.161360333861,-7.297080826170102
HONAUT,2005-08-29,2005-09-22,826.5452319536577,774.7800694678975,14,11571.633247351207,-724.7122748006404,-6.262834807407416
FINCABLES,2005-04-22,2005-09-23,31.106279997857897,41.778389739464416,322,10016.222159310242,3436.4193367973003,34.308537511851135
ARE&M,2005-04-29,2005-09-23,5.970219824001425,7.823776379334729,1685,10059.8204034424,3123.242795736618,31.04670531362435
GLAXO,2005-07-01,2005-09-23,247.84779982861727,266.55902864093537,42,10409.607592801925,785.8716101173595,7.549483523862868
IFCI,2005-06-06,2005-09-29,12.25453593313082,12.41472578048706,848,10391.846471294935,135.84099055809202,1.3071881973364525
3MINDIA,2005-05-17,2005-10-10,695.8227142671108,747.8469700035505,14,9741.51799973955,728.3395803101575,7.476653847271344
TATACONSUM,2005-06-01,2005-10-10,41.23223845941587,59.64326215638753,249,10266.82737639455,4584.344900545944,44.65201110799089
ATUL,2005-05-30,2005-10-13,68.62646797571664,80.52043246610262,150,10293.970196357495,1784.0946735578982,17.33145365224777
NCC,2005-04-01,2005-10-14,27.73070165568742,52.558560696142685,360,9983.052596047472,8938.029254563897,89.5320260869173
KARURVYSYA,2005-06-27,2005-10-14,8.121217597305728,9.298299220088362,1285,10435.764612537861,1512.5498852756828,14.493905731243276
ACC,2005-08-31,2005-10-14,340.03431682069,319.47139060965554,36,12241.23540554484,-740.2653435972406,-6.047309107885688
ICICIBANK,2005-09-28,2005-10-14,84.80176377244197,73.43303766231965,154,13059.471620956065,-1750.783820958839,-13.406237800229368
SRF,2005-04-08,2005-10-17,12.195278041785555,32.524849828572414,821,10012.323272305941,16690.57843695201,166.7003549827252
ITC,2005-04-15,2005-10-17,16.30565743701525,22.0207809742351,614,10011.673666327362,3509.0858518529894,35.049942385309954
ELGIEQUIP,2005-05-12,2005-10-17,10.21975099361805,10.376879611391354,991,10127.773234675487,155.71446021334486,1.5374994740226748
OFSS,2005-05-24,2005-10-17,379.71415711517017,474.02371835823607,27,10252.282242109595,2546.358153562778,24.836988422968133
AUROPHARMA,2005-06-06,2005-10-17,29.048614168821786,29.088913563161455,357,10370.355258269377,14.386883779261552,0.13873086717824226
INDIACEM,2005-08-31,2005-10-17,94.26629086844223,77.66542384321811,130,12254.61781289749,-2158.1127132791353,-17.610608068150512
BHARTIARTL,2005-09-09,2005-10-17,137.89564307950658,133.27704543154547,92,12686.399163314605,-424.91098361242075,-3.349342694821871
JINDALSAW,2005-04-21,2005-10-18,23.027790771987494,26.828493548780784,433,9971.033404270585,1645.7043023514943,16.504851960947605
AMBUJACEM,2005-06-01,2005-10-18,41.61875218152242,45.594637804189524,247,10279.831788836038,982.0437487987747,9.553111071965986
NTPC,2005-08-02,2005-10-18,43.475683798053275,43.987384440438944,270,11738.434625474385,138.15917344412992,1.176981240277994
APOLLOHOSP,2005-04-05,2005-10-19,165.99446983229944,185.93889129997774,60,9959.668189937967,1196.665288060698,12.01511200212134
ABREL,2005-04-22,2005-10-19,219.4432297066038,249.02549475147933,45,9874.945336797171,1331.2019270193996,13.480600465289868
ZEEL,2005-05-13,2005-10-19,39.68655349423623,42.94945928873695,256,10159.757694524475,835.3038833921855,8.221690994090993
RADICO,2005-06-02,2005-10-19,328.01786953436874,552.7373673020895,31,10168.55395556543,6966.304430799346,68.5083096499337
SHRIRAMFIN,2005-06-07,2005-10-19,9.179844383174437,15.762601514206722,1140,10465.022596818859,7504.343129376803,71.70880960790244
ONGC,2005-07-01,2005-10-19,46.40725629082843,44.14167508734122,225,10441.632665436397,-509.75577078462265,-4.881954643664129
BANKINDIA,2005-08-01,2005-10-19,95.34935653342201,72.78781531018605,122,11632.621497077485,-2752.5080292347884,-23.66197533312945
CHAMBLFERT,2005-09-01,2005-10-19,21.382502560144015,19.32948988569256,581,12423.233987443673,-1192.800363856295,-9.601367607354689
JINDALSTEL,2005-09-30,2005-10-19,45.669276337106226,41.165769496530906,287,13107.082308749486,-1292.5064632451158,-9.861130286656685
SUNPHARMA,2005-04-29,2005-10-20,41.027190534533936,49.53547795866397,245,10051.661680960815,2084.530418911858,20.738167330683602
DEEPAKFERT,2005-05-17,2005-10-20,38.72369408618752,43.3523154054487,266,10300.502626925881,1231.213270923472,11.952943613693536
TATACHEM,2005-05-27,2005-10-20,24.345127208761316,27.078944824066788,426,10371.024190932321,1164.6063041201305,11.22942423698499
COFORGE,2005-06-09,2005-10-20,13.457362188064053,13.493054711828986,783,10537.114593254153,27.947246107942192,0.2652267455251363
BRITANNIA,2005-07-05,2005-10-20,67.04132805325277,86.02969795078734,160,10726.612488520443,3038.139183605532,28.32337969565816
TATAPOWER,2005-07-05,2005-10-20,28.91780325081179,27.267709330610213,371,10728.505006051175,-612.1848443947856,-5.70615238609197
MRF,2005-08-12,2005-10-20,2488.08081057746,2689.511881125527,4,9952.32324230984,805.7242821922682,8.095841167687668
AXISBANK,2005-09-22,2005-10-20,50.444912118365814,41.964564005371926,262,13216.566975011843,-2221.8512056043983,-16.811106922131778
CCL,2005-10-04,2005-10-20,33.67371157074246,28.500204454445587,393,13233.768647301787,-2033.1882967046713,-15.363637909139472
LUPIN,2005-06-13,2005-10-24,60.5860339290276,63.66651936467611,172,10420.797835792748,529.8434949315433,5.084481085619642
GMDCLTD,2005-10-14,2005-10-25,28.52397379025316,24.601935059434478,451,12864.312179404174,-1768.8394675992258,-13.74997312667168
CESC,2005-06-08,2005-10-27,10.846013592576197,10.096292387251482,973,10553.17122557664,-729.4787327809481,-6.912412555317831
SBIN,2005-06-24,2005-10-27,49.10943008175612,59.660361717729636,211,10362.089747250542,2226.246575190411,21.484532845135018
HINDUNILVR,2005-06-27,2005-10-27,105.7842881058559,104.77294746775716,98,10366.860234373877,-99.11138253367426,-0.9560405011060733
HCLTECH,2005-08-01,2005-10-27,28.93571337332726,30.38249759347839,404,11690.028202824213,584.5008249410566,4.999994994022735
TMPV,2005-09-28,2005-10-27,88.3787758195561,78.04105212861647,148,13080.058821294302,-1529.9831062590638,-11.697065947197846
VTL,2005-04-26,2005-10-28,21.119339393675276,36.48441564924702,476,10052.80555138943,7313.77629765215,72.7535836664153
MARICO,2005-05-31,2005-10-28,10.394787530287765,10.339041910867174,986,10249.260504863736,-54.96518074870255,-0.5362843565408363
TVSMOTOR,2005-06-07,2005-10-28,31.174866106819337,32.226359148584514,335,10443.580145784477,352.25016899133516,3.372887114133174
WIPRO,2005-06-20,2005-10-28,32.417095597413635,32.54921839697437,318,10308.636399977537,42.01505026031191,0.40757136666885896
MARUTI,2005-06-27,2005-10-28,405.63993298341296,448.8989827066691,25,10140.998324585324,1081.4762430814026,10.664396230689894
HDFCBANK,2005-07-01,2005-10-28,25.97455366097985,25.808061058962828,402,10441.7705717139,-66.930026010843,-0.6409834955783479
DCMSHRIRAM,2005-08-01,2005-10-28,51.31536115594392,52.93882055054577,227,11648.586982399269,368.5252825746211,3.163690867668789
INFY,2005-09-30,2005-10-28,99.60119793958245,94.50434819984342,131,13047.756930085301,-667.6873159058123,-5.117257467958113
JUBLPHARMA,2005-10-13,2005-10-28,23.153971599905493,21.15026105131921,561,12989.37806754698,-1124.081617756905,-8.653852493256327
CONCOR,2005-06-02,2005-11-10,76.18676324843065,106.28773388347257,135,10285.213038538139,4063.6310357306575,39.50944934737327
PETRONET,2005-11-09,2005-12-08,18.79503738595204,18.099994076463013,659,12385.929637342393,-458.0335409532672,-3.6980150409731043
RAMCOCEM,2005-08-31,2005-12-15,59.15795042960656,64.6471075487243,208,12304.853689358164,1141.7446807764918,9.278815576360149
WELSPUNLIV,2005-08-31,2005-12-15,11.003118214565639,9.158385518890483,1118,12301.486163884385,-2062.411153764824,-16.765544636548093
CANFINHOME,2005-09-01,2005-12-16,6.760210107022888,6.235143690348236,1840,12438.786596922115,-966.1222066813607,-7.767013278613691
CCL,2005-11-17,2005-12-16,37.11761945064308,32.90840204007775,340,12619.990613218648,-1431.133919592212,-11.34021381991512
KEC,2005-11-29,2005-12-16,45.04611282425452,41.42360420161241,292,13153.46494468232,-1057.772517811496,-8.041778514330797
