entry_date,exit_date,hold_days,direction,entry_z,exit_z,exit_reason,entry_pa,exit_pa,entry_pb,exit_pb,pnl_a,pnl_b,cost,net_pnl
2024-09-19,2024-11-06,32,LongTCS-ShortINFY,-2.865,-0.42,reversion,4307.0,4143.0,1896.0,1825.65,-24600.0,28140.0,964.83,2575.17
2025-03-12,2025-04-04,15,ShortTCS-LongINFY,2.523,0.266,reversion,3507.8,3300.0,1590.05,1456.0,31170.0,-53620.0,782.73,-23232.73
2025-07-11,2025-08-05,17,LongTCS-ShortINFY,-3.262,-0.479,reversion,3264.6,3060.0,1594.5,1460.0,-30690.0,53800.0,760.83,22349.17
2026-01-16,2026-01-19,1,LongTCS-ShortINFY,-5.49,-5.43,stop-loss,3209.0,3161.0,1689.1,1679.9,-7200.0,3680.0,805.91,-4325.91
2026-01-22,2026-02-03,8,LongTCS-ShortINFY,-2.677,-0.227,reversion,3152.2,3220.0,1662.8,1654.7,10170.0,3240.0,799.66,12610.34
2026-02-06,2026-02-23,11,LongTCS-ShortINFY,-2.655,-0.01,reversion,2940.3,2674.0,1505.7,1328.0,-39945.0,71080.0,693.03,30441.97
2026-04-28,2026-05-12,9,ShortTCS-LongINFY,2.73,0.065,reversion,2450.7,2303.5,1151.5,1139.7,22080.0,-4720.0,571.23,16788.77
