A,B,lotA,lotB_lots,lotB_unit,beta,r2,stat,pval,level,hl,imb,margin,viable,rev,rows,sector
TATAPOWER,CESC,4950,18,1050,3.8043,0.72,-2.042,0.2683,FAIL,148.6,0.4,499443,False,False,2318,Power — Private
TATAPOWER,JSWENERGY,4950,2,2000,0.6682,0.952,-4.801,0.0001,1%,34.6,20.9,474017,True,False,2318,Power — Private
TORNTPOWER,CESC,500,5,1050,10.6713,0.772,-2.637,0.0855,10%,101.3,1.6,142631,True,False,2318,Power — Private
JSWENERGY,TORNTPOWER,2000,2,500,0.4959,0.847,-2.466,0.124,FAIL,103.9,0.8,327521,False,True,2318,Power — Private
JSWENERGY,CESC,2000,10,1050,5.3754,0.674,-2.042,0.2684,FAIL,126.8,2.3,683728,False,True,2318,Power — Private
HINDALCO,VEDL,1075,1,2750,2.055,0.902,-1.598,0.4844,FAIL,129.5,24.5,175721,False,False,2318,Metals — Non-ferrous
NATIONALUM,VEDL,7100,1,2750,0.4083,0.874,-3.678,0.0044,1%,81.4,5.1,208411,True,False,2318,Metals — Non-ferrous
COALINDIA,MOIL,4200,1,3000,0.8758,0.584,-2.584,0.0964,10%,129.3,18.4,296790,True,False,2318,Mining
NMDC,MOIL,18000,1,3000,0.2208,0.827,-2.825,0.0547,10%,60.9,24.5,256376,True,False,2318,Mining
BPCL,IOC,3600,2,2500,1.3774,0.697,-2.038,0.2701,FAIL,164.5,0.8,188131,False,False,2318,OMC
ONGC,OIL,9750,3,2200,0.5653,0.89,-2.742,0.067,10%,57.8,19.7,509749,True,False,2318,Oil & Gas
ONGC,GAIL,9750,2,6700,1.1223,0.708,-2.459,0.1257,FAIL,111.7,22.5,537104,False,False,2318,Oil & Gas
ONGC,PETRONET,9750,1,3000,0.2516,0.108,-0.063,0.953,FAIL,121475.9,22.3,371146,False,False,2318,Oil & Gas
GAIL,OIL,6700,1,2200,0.4026,0.802,-1.617,0.4741,FAIL,109.4,18.4,285028,False,True,2318,Oil & Gas
PETRONET,OIL,3000,1,2200,0.3795,0.236,2.289,0.9989,FAIL,999.0,93.2,180928,False,True,2318,Oil & Gas
GUJGASLTD,IGL,1000,2,1375,2.5193,0.681,-2.627,0.0875,10%,129.5,9.2,228412,True,True,2142,City Gas
GUJGASLTD,MGL,1000,1,400,0.5774,0.322,-2.472,0.1224,FAIL,108.7,30.7,197548,False,True,1949,City Gas
ASIANPAINT,KANSAINER,200,6,300,8.5276,0.418,-0.72,0.8415,FAIL,418.7,5.5,172563,False,False,2318,Paints
BERGEPAINT,KANSAINER,1100,7,300,1.997,0.568,-1.31,0.6248,FAIL,199.4,4.4,186275,False,False,2318,Paints
TRENT,DMART,350,1,150,0.5108,0.508,2.88,1.0,FAIL,999.0,16.1,232821,False,False,1773,Retail
TRENT,JUBLFOOD,350,1,1250,2.5225,0.345,5.849,1.0,FAIL,999.0,41.6,237963,False,False,2318,Retail
DMART,JUBLFOOD,150,1,1250,6.1596,0.813,-1.431,0.5675,FAIL,105.9,35.3,181387,False,False,1773,Retail
IDEA,BHARTIARTL,140000,10,950,-0.0664,0.287,1.38,0.997,FAIL,999.0,2.2,21050131,False,True,2318,Telecom
INDHOTEL,EIHOTEL,2100,1,2400,1.4956,0.74,-1.273,0.6413,FAIL,135.9,23.6,248805,False,False,2318,Hotels
