A,B,lotA,lotB_lots,lotB_unit,beta,r2,stat,pval,level,hl,imb,margin,viable,rev,rows,sector
AXISBANK,IDFCFIRSTB,1200,1,9000,7.4904,0.376,-1.843,0.3592,FAIL,204.4,0.1,298105,False,False,2108,Private Banks
RBLBANK,AXISBANK,4000,1,1200,-0.2728,0.095,-0.912,0.784,FAIL,485.9,10.0,660142,False,True,1908,Private Banks
BANDHANBNK,INDUSINDBK,5000,1,700,0.1682,0.255,-1.229,0.6609,FAIL,255.3,16.8,1100088,False,True,1520,Private Banks
INDUSINDBK,AUBANK,700,1,1000,-0.3162,0.019,-1.666,0.4485,FAIL,259.6,351.8,255062,False,False,1697,Private Banks
INDUSINDBK,IDFCFIRSTB,700,1,9000,9.1257,0.167,-1.956,0.306,FAIL,230.3,40.9,263412,False,False,2108,Private Banks
RBLBANK,INDUSINDBK,4000,2,700,0.3461,0.554,-1.861,0.3507,FAIL,170.5,1.1,910528,False,True,1908,Private Banks
BANDHANBNK,FEDERALBNK,5000,1,10000,-1.6881,0.171,-1.333,0.6138,FAIL,210.5,18.5,434478,False,True,1520,Private Banks
FEDERALBNK,AUBANK,10000,1,1000,0.114,0.415,-1.253,0.6504,FAIL,209.7,12.3,318933,False,False,1697,Private Banks
FEDERALBNK,IDFCFIRSTB,10000,1,9000,1.3479,0.495,-2.61,0.0909,10%,146.1,33.2,327283,True,False,2108,Private Banks
RBLBANK,FEDERALBNK,4000,1,10000,-0.4655,0.006,-0.714,0.8431,FAIL,512.4,437.1,434280,False,True,1908,Private Banks
BANDHANBNK,AUBANK,5000,3,1000,-0.5006,0.422,-3.857,0.0024,1%,65.8,19.9,476339,True,False,1520,Private Banks
BANDHANBNK,IDFCFIRSTB,5000,2,9000,-2.8599,0.166,-2.705,0.0732,10%,115.4,25.9,388781,True,False,1520,Private Banks
BANDHANBNK,RBLBANK,5000,1,4000,0.6167,0.663,-2.533,0.1076,FAIL,79.0,29.7,302933,False,False,1520,Private Banks
AUBANK,IDFCFIRSTB,1000,1,9000,6.0555,0.386,-2.402,0.1412,FAIL,129.4,48.6,216862,False,False,1697,Private Banks
RBLBANK,AUBANK,4000,3,1000,-0.6672,0.419,-2.714,0.0717,10%,112.6,12.4,521548,True,True,1697,Private Banks
RBLBANK,IDFCFIRSTB,4000,1,9000,-0.0907,0.0,-1.122,0.7063,FAIL,381.0,2381.7,363615,False,True,1908,Private Banks
PNB,SBIN,8000,1,1500,-0.06,0.042,0.991,0.9942,FAIL,999.0,212.6,750513,False,True,2318,PSU Banks
UNIONBANK,SBIN,8000,1,1500,-0.0203,0.005,1.429,0.9972,FAIL,999.0,825.2,755797,False,True,2318,PSU Banks
SBIN,INDIANB,1500,2,700,0.8645,0.408,-0.903,0.787,FAIL,672.5,8.0,220386,False,False,2318,PSU Banks
PNB,BANKBARODA,8000,1,3500,0.5699,0.387,-0.368,0.9154,FAIL,1402.5,23.2,285232,False,True,2318,PSU Banks
UNIONBANK,BANKBARODA,8000,2,3500,0.7243,0.595,-1.321,0.6196,FAIL,314.5,20.8,353196,False,True,2318,PSU Banks
BANKBARODA,INDIANB,3500,2,700,0.3433,0.633,-2.802,0.058,10%,115.1,16.5,188987,True,False,2318,PSU Banks
PNB,UNIONBANK,8000,1,8000,0.9224,0.895,-3.146,0.0233,5%,77.5,8.4,226157,True,False,2318,PSU Banks
PNB,INDIANB,8000,2,700,0.1476,0.139,-3.062,0.0295,5%,186.7,18.6,182134,True,False,2318,PSU Banks
UNIONBANK,INDIANB,8000,2,700,0.1778,0.192,-3.4,0.0109,5%,183.7,1.6,210313,True,False,2318,PSU Banks
SUNPHARMA,DRREDDY,700,5,125,0.8232,0.508,-1.194,0.6762,FAIL,408.1,8.5,234021,False,False,2318,Pharma
LUPIN,SUNPHARMA,1000,1,700,0.5471,0.161,0.15,0.9693,FAIL,999.0,27.9,315678,False,True,2318,Pharma
DIVISLAB,SUNPHARMA,200,1,700,2.3192,0.209,-0.194,0.9392,FAIL,3355.1,50.9,417648,False,True,2318,Pharma
AUROPHARMA,SUNPHARMA,3500,1,700,0.238,0.159,-0.825,0.8118,FAIL,759.1,16.0,745489,False,True,2318,Pharma
BIOCON,SUNPHARMA,2700,1,700,-0.0697,0.031,0.547,0.9862,FAIL,999.0,272.0,526603,False,True,2318,Pharma
ALKEM,SUNPHARMA,300,1,700,2.7264,0.613,-2.081,0.2522,FAIL,188.5,14.4,498467,False,True,2078,Pharma
TORNTPHARM,SUNPHARMA,500,1,700,1.4059,0.518,-1.82,0.3707,FAIL,269.0,0.4,316000,False,True,2318,Pharma
IPCALAB,SUNPHARMA,700,1,700,0.5999,0.224,-0.508,0.8904,FAIL,1227.2,66.7,236238,False,True,2318,Pharma
GLENMARK,SUNPHARMA,1800,1,700,0.346,0.209,-0.558,0.8801,FAIL,1147.6,12.4,419203,False,True,2318,Pharma
CIPLA,DRREDDY,650,5,125,0.9672,0.772,-1.706,0.4281,FAIL,145.6,0.6,222511,False,False,2318,Pharma
LUPIN,CIPLA,1000,1,650,0.007,0.0,0.696,0.9898,FAIL,999.0,9142.9,302856,False,True,2318,Pharma
DIVISLAB,CIPLA,200,1,650,4.2033,0.623,-0.905,0.7862,FAIL,500.0,22.7,389761,False,True,2318,Pharma
AUROPHARMA,CIPLA,3500,2,650,0.2862,0.209,-0.884,0.7932,FAIL,565.9,29.8,817527,False,True,2318,Pharma
BIOCON,CIPLA,2700,1,650,0.1327,0.101,0.594,0.9875,FAIL,999.0,81.4,515250,False,True,2318,Pharma
ALKEM,CIPLA,300,2,650,3.3714,0.862,-3.339,0.0132,5%,57.7,28.5,877128,True,True,2078,Pharma
TORNTPHARM,CIPLA,500,1,650,1.8967,0.856,-2.969,0.0379,5%,74.1,31.5,298291,True,True,2318,Pharma
IPCALAB,CIPLA,700,1,650,1.0697,0.646,-1.331,0.6148,FAIL,244.5,13.2,226172,False,True,2318,Pharma
GLENMARK,CIPLA,1800,1,650,0.076,0.009,0.47,0.9839,FAIL,999.0,375.3,406767,False,True,2318,Pharma
LUPIN,DRREDDY,1000,1,125,0.1596,0.01,-0.761,0.8303,FAIL,931.6,21.7,190670,False,True,2318,Pharma
DIVISLAB,DRREDDY,200,8,125,4.9165,0.704,-2.276,0.1798,FAIL,165.1,1.7,577270,False,True,2318,Pharma
AUROPHARMA,DRREDDY,3500,11,125,0.3792,0.303,-1.639,0.463,FAIL,270.9,3.6,778641,False,True,2318,Pharma
BIOCON,DRREDDY,2700,4,125,0.172,0.14,-0.778,0.8256,FAIL,869.7,7.7,471277,False,True,2318,Pharma
ALKEM,DRREDDY,300,8,125,3.5313,0.785,-2.591,0.0948,10%,101.6,5.6,683040,True,True,2078,Pharma
TORNTPHARM,DRREDDY,500,8,125,2.0138,0.797,-2.729,0.0691,10%,101.8,0.7,403002,True,True,2318,Pharma
IPCALAB,DRREDDY,700,7,125,1.2898,0.776,-2.912,0.044,5%,94.7,3.1,250616,True,True,2318,Pharma
GLENMARK,DRREDDY,1800,1,125,0.0728,0.007,-0.805,0.8178,FAIL,867.6,4.6,316596,False,True,2318,Pharma
LUPIN,DIVISLAB,1000,1,200,-0.086,0.103,-0.949,0.7713,FAIL,528.4,132.5,295555,False,False,2318,Pharma
AUROPHARMA,LUPIN,3500,1,1000,0.1926,0.194,-1.889,0.3371,FAIL,280.7,48.4,794157,False,True,2318,Pharma
LUPIN,BIOCON,1000,1,2700,-2.2854,0.444,-1.858,0.3522,FAIL,173.7,18.1,292149,False,False,2318,Pharma
LUPIN,ALKEM,1000,1,300,0.0035,0.0,-1.775,0.3931,FAIL,275.6,8520.1,376647,False,False,2078,Pharma
LUPIN,TORNTPHARM,1000,1,500,-0.0953,0.019,-0.906,0.7861,FAIL,602.4,424.5,346465,False,False,2318,Pharma
