year,pnl,max_cap,dep_pct,ret_maxcap,n_active
2015,1454907,2375537,58.6,61.25,6
2016,455000,3634127,93.1,12.52,10
2017,1321917,4024351,90.8,32.85,10
2018,6000254,4416446,93.9,135.86,11
2019,2151281,5799435,91.2,37.09,11
2020,3025759,6377640,86.3,47.44,11
2021,4118740,7490144,92.0,54.99,11
2022,7324378,9973739,95.0,73.44,11
2023,7476418,12191355,92.7,61.33,11
2024,11242660,15268160,88.5,73.63,11
2025,2282770,12173103,88.1,18.75,9
2026,680916,12755492,92.4,5.34,9
