,A,B
2025-04-30,246005139.59341744,10574548.38128404
2025-05-30,268491008.3429824,10710098.95525657
2025-06-30,285560073.95372933,10821799.490735387
2025-07-31,279825099.1700174,10850317.020919234
2025-08-29,273554343.7941263,10874097.596793838
2025-09-30,274679342.63743484,10928783.509470457
2025-10-31,276041015.9649061,10982960.983697912
2025-11-28,276346976.33337647,11028867.182138002
2025-12-31,276563855.14214534,11082724.855185587
2026-01-30,268642111.81946075,11103469.551211959
2026-02-27,269574845.42966807,11152228.398276426
2026-03-30,270911214.1323677,11207513.560261996
2026-04-30,272254207.6420173,11263072.788472418
2026-05-29,273516582.9827641,11315296.867844218
2026-06-18,274390595.4104509,11351454.493014917
