,A,B
2006-01-31,1000000.0,1000000.0
2006-02-28,1004476.507023349,1004476.507023349
2006-03-31,1009456.0182401448,1009456.0182401448
2006-04-28,1013974.8551955587,1013974.8551955587
2006-05-31,1019326.6037392461,1019326.6037392461
2006-06-30,1024216.3371747768,1024216.3371747768
2006-07-31,1029293.7050412497,1029293.7050412497
2006-08-31,1034396.2430436752,1034396.2430436752
2006-09-29,1039192.482268365,1039192.482268365
2006-10-31,1044510.69713818,1044510.69713818
2006-11-30,1049521.2392557214,1049521.2392557214
2006-12-29,1054387.6093423448,1054387.6093423448
2007-01-31,1059952.6559742868,1059952.6559742868
2007-02-28,1064697.5414831731,1064697.5414831731
2007-03-30,1069804.9203627391,1069804.9203627391
2007-04-30,1075108.2854125758,1075108.2854125758
2007-05-31,1080437.9409386632,1080437.9409386632
2007-06-29,1085447.6641148853,1085447.6641148855
2007-07-31,1091002.5964360863,1091002.5964360866
2007-08-31,1096411.045143967,1096411.0451439673
2007-09-28,1101319.1368880314,1101319.1368880316
2007-10-31,1107131.8876251676,1107131.8876251678
2007-11-30,1112442.8250505268,1112442.825050527
2007-12-31,1117957.5598269512,1117957.5598269515
2008-01-31,1123499.6329069447,1123499.632906945
2008-02-29,1128709.0224851754,1128709.0224851759
2008-03-31,1134304.3940032402,1134304.3940032404
2008-04-30,1139745.6785739367,1139745.6785739372
2008-05-30,1145213.0651133251,1145213.0651133256
2008-06-30,1150890.252447703,1150890.2524477034
2008-07-31,1156595.583414922,1156595.5834149222
2008-08-29,1161958.4307198918,1161958.430719892
2008-09-30,1167904.9177372658,1167904.917737266
2008-10-31,1173694.595840597,1173694.5958405973
2008-11-28,1178948.6479421442,1178948.6479421444
2008-12-31,1185171.1264162182,1185171.1264162185
2009-01-30,1190856.4198858521,1190856.4198858524
2009-02-27,1196187.2970132714,1196187.2970132716
2009-03-31,1202308.9551070384,1202308.9551070386
2009-04-30,1302340.1550567078,1286478.6830577676
2009-05-29,1553101.0056536952,1480458.887682118
2009-06-30,1599046.6641686212,1512331.6435091526
2009-07-31,1755187.440810199,1612580.6237139287
2009-08-31,1782092.019641191,1630858.1421367223
2009-09-30,1973950.7111625192,1741631.1816640317
2009-10-30,1911753.713641404,1713535.2866034945
2009-11-30,2120546.576927587,1823103.8845739267
2009-12-31,2266764.2636388764,1896126.454771868
2010-01-29,2205263.773817728,1873049.0285584116
2010-02-26,2212920.5169369704,1880455.543835688
2010-03-31,2224600.287981716,1890380.5682745343
2010-04-30,2410093.4278215775,1976649.8601606833
2010-05-31,2328876.6687173285,1947690.5297297519
2010-06-30,2337708.295940502,1956061.737833803
2010-07-30,2457548.1835691035,2010561.3459431552
2010-08-31,2621300.5580236437,2082407.219310328
2010-09-30,2810060.5807589735,2159609.8778576897
2010-10-29,2902272.6006644475,2197757.4497271553
2010-11-30,2825541.4701022897,2177384.247841306
2010-12-31,2809418.9891028153,2177786.4664058606
2011-01-31,2526442.6024082024,2086179.672637724
2011-02-28,2535214.488221507,2094643.1935674127
2011-03-31,2547782.357049512,2105027.0096194805
2011-04-29,2667729.296238341,2152083.0114300996
2011-05-31,2617649.163366178,2141115.064495945
2011-06-30,2627575.8812222313,2150478.8786917953
2011-07-29,2769100.369001965,2205060.1714744065
2011-08-30,2780488.3611242073,2215384.922273444
2011-09-30,2794272.130964099,2226367.2936806874
2011-10-31,2808124.2313583116,2237404.1082145018
2011-11-30,2624071.402628486,2180010.6556271682
2011-12-30,2634022.475068819,2189558.827206846
2012-01-31,2647502.458549608,2200764.2049514656
2012-02-29,2903999.775472889,2295201.2044582036
2012-03-30,3026925.9215363814,2343781.2300757803
2012-04-30,3153659.156264626,2392305.776962176
2012-05-31,3089342.911804681,2378746.2219414455
2012-06-29,3100563.762422686,2388790.7459500497
2012-07-31,3167702.6780026774,2417289.7258743434
2012-08-31,3295852.90814542,2464801.996366307
2012-09-28,3564665.209151242,2552956.4471849105
2012-10-31,3678004.215821203,2592892.538858522
2012-11-30,3850034.747600795,2647316.513110593
2012-12-31,3950880.994085104,2681650.5874473285
2013-01-31,3947879.486258978,2689195.288601549
2013-02-28,3700009.3267279947,2633955.159401795
2013-03-28,3712855.8720210833,2644804.4419286908
2013-04-30,3732452.28597967,2658763.6917541707
2013-05-31,3898671.816600496,2709369.7205386315
2013-06-28,3783068.564669245,2687787.050027887
2013-07-31,3799232.5249153203,2701009.61893837
2013-08-30,3817457.531736771,2713966.4249267196
2013-09-30,3836381.88931608,2727420.4242591457
2013-10-31,3855400.0609867866,2740941.119368047
2013-11-29,4006302.0877810353,2787353.7181220916
2013-12-31,4323617.49043883,2875764.864271962
2014-01-31,4283043.10952437,2875585.2385369586
2014-02-28,4297913.965903377,2887461.769868962
2014-03-31,4359976.8875793135,2911211.8251123857
2014-04-30,4701244.348860241,2998717.812147314
2014-05-30,5276210.448478819,3130645.4353755657
2014-06-30,6284520.892427093,3332376.0766259334
2014-07-31,6354077.750116436,3354820.2477592877
2014-08-28,6782894.57662789,3432900.4331028285
2014-09-30,7422001.953932794,3539985.7775785318
2014-10-31,7752426.524289036,3597041.7174575874
2014-11-28,8203638.897918257,3666879.137456434
2014-12-31,8188390.05695705,3679030.394997974
2015-01-30,8836597.085851204,3770979.5570913516
2015-02-27,9295710.720816065,3835309.7464763876
2015-03-31,9602206.698294755,3882767.2177324723
2015-04-30,9638620.438540569,3900353.976499805
2015-05-29,9683312.334639492,3918438.952018682
2015-06-30,9732868.058459522,3938492.1189311296
2015-07-31,9781116.997414116,3958016.4836587794
2015-08-31,9375940.884882264,3931255.997975331
2015-09-30,9411496.573972236,3949151.150478279
2015-10-30,9456643.742021533,3968095.320434818
2015-11-30,9503523.348719535,3987766.437697654
2015-12-31,9550635.352617234,4007535.070978408
2016-01-29,9594919.283661053,4026117.0186904273
2016-02-29,9642484.366431206,4046075.7680633836
2016-03-31,9690285.24452512,4066133.459338595
2016-04-29,10256452.104827447,4138277.080805828
2016-05-31,10302414.639022395,4158770.510775711
2016-06-30,10791640.451465461,4221447.95069098
2016-07-29,11453609.868371278,4297734.957984895
2016-08-31,12028723.784693476,4365336.080213706
2016-09-30,12160077.120710637,4392355.273695416
2016-10-28,12913385.54267766,4469537.03926524
2016-11-30,11987099.721950462,4415979.122794263
2016-12-30,12032557.516110765,4436229.021482381
2017-01-31,12094135.835234478,4458932.0524901245
2017-02-28,12863641.147538507,4534345.178869581
2017-03-31,13522508.076638306,4602953.297604658
2017-04-28,14782773.550071426,4712320.93774149
2017-05-31,14751656.29856711,4729708.387615046
2017-06-30,14862855.69577557,4755134.949425671
2017-07-31,16189879.125608364,4863113.869300461
2017-08-31,17483898.40417403,4962177.456036471
2017-09-29,18732579.445278727,5051954.476342637
2017-10-31,21125936.57817823,5200506.260358939
2017-11-30,21635036.65746068,5244645.345088625
2017-12-29,23478849.559380718,5349606.617696846
2018-01-31,24113955.59258027,5399549.964521195
2018-02-28,23528962.837082718,5394929.10727285
2018-03-28,21760281.00644038,5341287.029019297
2018-04-30,21853256.4075252,5368570.220809104
2018-05-31,21255522.438472614,5365874.176968531
2018-06-29,20538943.29930122,5356917.084546574
2018-07-31,21519722.64929386,5420681.977346352
2018-08-31,23262267.067470226,5515460.840009905
2018-09-28,20221806.78307163,5409614.738807211
2018-10-31,20308208.727778103,5437322.764623012
2018-11-30,20405627.67757072,5463405.728438946
2018-12-31,20506784.89846714,5490489.57750505
2019-01-31,20608443.588051565,5517707.68987077
2019-02-28,20454532.57345848,5532189.130438642
2019-03-28,21664649.008320734,5603386.514115223
2019-04-30,21679820.838639736,5628844.291514807
2019-05-31,21978831.400874857,5664699.20716198
2019-06-28,21833657.692492615,5679946.699986021
2019-07-31,20092749.23051034,5632874.403144278
2019-08-30,20168945.48146523,5659057.356035453
2019-09-30,20268929.39303875,5687111.112777237
2019-10-31,21260793.684876613,5752306.45602443
2019-11-29,21408567.92477869,5781020.549137811
2019-12-31,22022127.415541377,5831527.344705795
2020-01-31,23331302.733913925,5910249.80888514
2020-02-28,22603494.8478537,5902159.300447115
2020-03-31,22696452.266134378,5931421.335769501
2020-04-30,22805327.67574944,5959874.501927765
2020-05-29,22911070.332749512,5987508.964110521
2020-06-30,23028320.983621273,6018150.890172741
2020-07-31,24853104.426598735,6118994.997519478
2020-08-31,26065625.138205282,6193172.026552421
2020-09-30,28571751.622168858,6314272.965632513
2020-10-30,28764621.05637953,6346421.261133544
2020-11-27,31760487.026075307,6474598.607253712
2020-12-31,34304538.95390767,6584442.5372053785
2021-01-29,35039788.86254862,6631705.49543679
2021-02-26,39988036.3934711,6798249.153281376
2021-03-31,43194839.0207482,6908979.187458979
2021-04-30,46593067.15310751,7015990.074695384
2021-05-31,50698472.9967781,7133929.304256173
2021-06-30,56758239.2055977,7282905.741916495
2021-07-30,60868362.422287,7385407.018228849
2021-08-31,61595389.40907544,7429963.470230146
2021-09-30,66066311.86513202,7533449.340036459
2021-10-29,68875639.83369182,7606231.107330112
2021-11-30,71463240.52015398,7677598.303386665
2021-12-31,71745689.14642741,7714614.856523517
2022-01-31,72101355.46750452,7752858.669039508
2022-02-28,72424117.69164778,7787564.395322496
2022-03-31,72783147.1999444,7826169.842027212
2022-04-29,75132854.37846574,7890104.772175268
2022-05-31,75441840.05603865,7929445.935515578
2022-06-30,75803736.31814615,7967483.672168276
2022-07-29,76155219.47167863,8004426.9209160535
2022-08-30,83680816.52181222,8139092.258118695
2022-09-30,82661309.42691903,8162184.276926381
2022-10-31,86831932.27789521,8247634.551486844
2022-11-30,89633747.56261411,8314658.353166738
2022-12-30,89510615.8460589,8348334.587713298
2023-01-31,87618599.95344475,8364813.218476871
2023-02-28,87922814.40628086,8401275.486874482
2023-03-31,88358675.90974772,8442923.295688104
2023-04-28,88754214.14303152,8480718.101118848
2023-05-31,96350542.80561066,8605081.177897863
2023-06-30,106206549.9410628,8743878.370780652
2023-07-31,121140895.85270588,8922916.196728863
2023-08-31,138331119.4997058,9104090.98193353
2023-09-29,148866080.23963404,9217754.095444301
2023-10-31,146329152.0872491,9242669.13140859
2023-11-30,146884065.33812103,9286017.76803183
2023-12-29,158661700.8998635,9403689.972179018
2024-01-31,183389831.02024645,9603983.50825647
2024-02-29,183281190.64692906,9643123.679611307
2024-03-28,177287520.48903173,9649097.467109839
2024-04-30,200538787.72220686,9821830.765326342
2024-05-31,210479295.5343053,9915082.992093433
2024-06-28,229226848.39686435,10044097.03163915
2024-07-31,247805168.1524714,10172865.642663794
2024-08-30,249867567.58492544,10225112.76883241
2024-09-30,251427052.7907099,10277078.762380283
2024-10-31,240585376.4732539,10279893.239599876
2024-11-29,241459210.37494457,10326596.280347206
2024-12-31,242694912.1193094,10379444.10096735
2025-01-31,243898028.39799532,10430898.324100982
2025-02-28,244989839.63509992,10477592.31370866
2025-03-28,246086538.3728756,10524495.329288764
