,A,B
2006-01-31,1000000.0,1000000.0
2006-02-28,1000000.0,1004476.507023349
2006-03-31,1000000.0,1009456.0182401448
2006-04-28,1000000.0,1013974.8551955587
2006-05-31,1000000.0,1019326.6037392461
2006-06-30,1000000.0,1024216.3371747768
2006-07-31,1000000.0,1029293.7050412497
2006-08-31,1000000.0,1034396.2430436752
2006-09-29,1000000.0,1039192.482268365
2006-10-31,1000000.0,1044510.69713818
2006-11-30,1000000.0,1049521.2392557214
2006-12-29,1000000.0,1054387.6093423448
2007-01-31,1000000.0,1059952.6559742868
2007-02-28,1000000.0,1064697.5414831731
2007-03-30,1000000.0,1069804.9203627391
2007-04-30,1000000.0,1075108.2854125758
2007-05-31,1000000.0,1080437.9409386632
2007-06-29,1000000.0,1085447.6641148853
2007-07-31,1000000.0,1091002.5964360863
2007-08-31,1000000.0,1096411.045143967
2007-09-28,1000000.0,1101319.1368880314
2007-10-31,1000000.0,1107131.8876251676
2007-11-30,1000000.0,1112442.8250505268
2007-12-31,1000000.0,1117957.5598269512
2008-01-31,1000000.0,1123499.6329069447
2008-02-29,1000000.0,1128709.0224851754
2008-03-31,1000000.0,1134304.3940032402
2008-04-30,1000000.0,1139745.6785739367
2008-05-30,1000000.0,1145213.0651133251
2008-06-30,1000000.0,1150890.252447703
2008-07-31,1000000.0,1156595.583414922
2008-08-29,1000000.0,1161958.4307198918
2008-09-30,1000000.0,1167904.9177372658
2008-10-31,1000000.0,1173694.595840597
2008-11-28,1000000.0,1178948.6479421442
2008-12-31,1000000.0,1185171.1264162182
2009-01-30,1000000.0,1190856.4198858521
2009-02-27,1000000.0,1196187.2970132714
2009-03-31,1000000.0,1202308.9551070384
2009-04-30,1083199.247185815,1302340.1550567078
2009-05-29,1291765.3146111905,1553101.0056536952
2009-06-30,1329979.8336994534,1599046.6641686212
2009-07-31,1459847.2658418652,1755187.440810199
2009-08-31,1482224.6911423344,1782092.019641191
2009-09-30,1641799.8907666665,1973950.7111625192
2009-10-30,1590068.5971944768,1911753.713641404
2009-11-30,1763728.5058221996,2120546.576927587
2009-12-31,1885342.5768895438,2266764.2636388764
2010-01-29,1834190.5917363819,2205263.773817728
2010-02-26,1832356.4011446447,2212920.5169369704
2010-03-31,1832356.4011446447,2224600.287981716
2010-04-30,1985143.1934462658,2410093.4278215775
2010-05-31,1918246.6596155034,2328876.6687173285
2010-06-30,1916328.4129558876,2337708.295940502
2010-07-30,2014566.752643917,2457548.1835691035
2010-08-31,2148802.2038339386,2621300.5580236437
2010-09-30,2303537.5895217345,2810060.5807589735
2010-10-29,2379128.0787490564,2902272.6006644475
2010-11-30,2316227.995830314,2825541.4701022897
2010-12-31,2303011.6469469736,2809418.9891028153
2011-01-31,2071042.717820887,2526442.6024082024
2011-02-28,2068971.6751030658,2535214.488221507
2011-03-31,2068971.6751030658,2547782.357049512
2011-04-29,2166376.7061922946,2667729.296238341
2011-05-31,2125708.249520079,2617649.163366178
2011-06-30,2123582.541270559,2627575.8812222313
2011-07-29,2237961.32422373,2769100.369001965
2011-08-30,2235723.3628995065,2780488.3611242073
2011-09-30,2235723.3628995065,2794272.130964099
2011-10-31,2235723.3628995065,2808124.231358312
2011-11-30,2089187.3925161837,2624071.402628486
2011-12-30,2087098.2051236674,2634022.4750688192
2012-01-31,2087098.2051236674,2647502.4585496085
2012-02-29,2289302.0172639936,2903999.775472889
2012-03-30,2386208.0420283433,3026925.9215363814
2012-04-30,2486115.2983470922,3153659.156264626
2012-05-31,2435413.0533164353,3089342.911804681
2012-06-29,2432977.6402631174,3100563.762422686
2012-07-31,2485660.794977535,3167702.6780026774
2012-08-31,2586218.844552442,3295852.90814542
2012-09-28,2797152.844911078,3564665.209151242
2012-10-31,2886088.6933976095,3678004.215821203
2012-11-30,3021079.123955722,3850034.747600795
2012-12-31,3100212.0435151868,3950880.994085104
2013-01-31,3097856.7939581405,3947879.486258978
2013-02-28,2903355.8573426264,3700009.3267279947
2013-03-28,2900452.5014852835,3712855.8720210833
2013-04-30,2900452.5014852835,3732452.28597967
2013-05-31,3029620.087952727,3898671.816600496
2013-06-28,2939785.9211494867,3783068.564669245
2013-07-31,2936846.135228337,3799232.5249153203
2013-08-30,2936846.135228337,3817457.531736771
2013-09-30,2936846.135228337,3836381.88931608
2013-10-31,2936846.135228337,3855400.0609867866
2013-11-29,3051795.563868274,4006302.0877810353
2013-12-31,3293510.1717436104,4323617.49043883
2014-01-31,3262602.6882417793,4283043.10952437
2014-02-28,3259340.0855535376,4297913.965903377
2014-03-31,3306405.7481167554,4359976.8875793135
2014-04-30,3565207.2795741716,4701244.348860241
2014-05-30,4001235.099392874,5276210.448478819
2014-06-30,4765891.319762824,6284520.892427093
2014-07-31,4818640.03839483,6354077.750116436
2014-08-28,5143834.9778693495,6782894.57662789
2014-09-30,5628504.589766766,7422001.953932794
2014-10-31,5879083.371928951,7752426.524289036
2014-11-28,6221262.063297511,8203638.897918257
2014-12-31,6209698.044334498,8188390.05695705
2015-01-30,6701268.41306993,8836597.085851204
