,A,B,C,D
2018-08-31,23262267.067470275,30597670.54706242,24096071.754208907,27052146.06273817
2018-09-28,20221806.78307167,26003204.564050876,21344552.03751894,23249282.946117975
2018-10-31,20308208.72777815,26114308.753060102,21435751.148692045,23348620.42278981
2018-11-30,20405627.677570768,26239579.699768636,21538578.945713114,23460624.298226807
2018-12-31,20506784.898467187,26369657.686187852,21645352.568295736,23576926.114176933
2019-01-31,20608443.588051613,26500380.510776907,21752655.501865316,23693804.475415085
2019-02-28,20454532.57345853,26386519.674438987,21557526.073658146,23686842.74439023
2019-03-28,21664649.00832079,27886389.247632645,22691463.02209903,24773421.99956279
2019-04-30,21679820.838639796,27669498.46472119,22909058.486070383,24539266.228193928
2019-05-31,21978831.400874913,28143924.04033134,23201952.30849148,24977991.89086609
2019-06-28,21833657.692492653,27924646.060095202,23060151.27741237,24941337.49251482
2019-07-31,20092749.230510384,25990267.418001495,21092508.12206341,22907592.589061607
2019-08-30,20168945.48146528,26088828.392204054,21172495.68492496,22994463.362874772
2019-09-30,20268929.393038798,26218159.056190427,21277454.515732333,23108454.270017985
2019-10-31,21260793.684876658,27097660.1390571,22335520.839467805,24005949.177051008
2019-11-29,21408567.924778733,27602123.771008205,22302695.841430277,24458559.720881775
2019-12-31,22022127.41554142,28475476.583696928,22984779.233942803,25133182.727799237
2020-01-31,23331302.733913973,30231132.080120213,24271377.392542735,26601691.895945758
2020-02-28,22603494.847853746,28791157.541465104,23681321.81442339,25318979.548366025
2020-03-31,22696452.266134422,28909561.87196272,23778711.822126184,25423104.46303783
2020-04-30,22805327.675749484,29048241.71292176,23892778.85601304,25545059.686684385
2020-05-29,22911070.332749557,29182931.216338586,24003563.75484335,25663505.802561413
2020-06-30,23028320.983621318,29332279.00453731,24126405.39570175,25794842.432203736
2020-07-31,24853104.4265988,31021180.80778405,26030157.400574323,28078433.60138933
2020-08-31,26065625.138205327,33805338.92951663,27052540.99494265,30087816.578782782
2020-09-30,28571751.62216891,39551677.02381711,29790167.755658098,33873089.94054681
2020-10-30,28764621.056379616,40996130.890464455,29976682.921347216,34258345.5184656
2020-11-27,31760487.026075386,46138338.01204728,32972962.009385157,38056137.916051894
2020-12-31,34304538.953907765,48980932.86632378,35586651.2459895,40891993.364443116
2021-01-29,35039788.86254872,50539189.82459838,36053625.49851657,42629320.684696734
2021-02-26,39988036.39347122,58870750.422004335,41216112.99137553,49249341.33856329
2021-03-31,43194839.02074832,62505106.55304875,44729427.07967011,53113245.215180755
2021-04-30,46593067.15310763,66484581.74812081,48549793.06149641,57390542.017225444
2021-05-31,50698472.996778265,73513930.95477773,52684767.93770023,64092814.2013772
2021-06-30,56758239.20559791,81081895.24673265,58005060.91634104,71994336.54543087
2021-07-30,60868362.42228718,85170605.24923229,57404357.30506271,75098261.96982418
2021-08-31,61595389.40907564,85914902.59172647,58246741.61078324,76733079.65506676
2021-09-30,66066311.86513223,92575297.58691989,62309894.28455241,83812661.89530624
2021-10-29,68875639.83369207,98918697.91891414,64527198.92654297,88915704.55162787
2021-11-30,71463240.52015428,108494510.90883502,66912047.66023688,96554868.84301801
2021-12-31,71745689.14642769,108923320.53657316,67176508.32288265,96936488.67814197
2022-01-31,72101355.4675048,109463288.2636331,67509523.75366683,97417033.84700811
2022-02-28,72424117.69164807,109953301.44234413,67811730.61089307,97853121.88321806
2022-03-31,72783147.19994469,110498375.11408025,68147895.041665,98338211.09596622
2022-04-29,75132854.37846605,111958154.74501167,70328559.383536,100053257.09202728
2022-05-31,75441840.05603898,112418585.35941966,70617787.2819516,100464728.52741592
2022-06-30,75803736.31814648,112957859.92911159,70956542.45065716,100946660.16774587
2022-07-29,76155219.47167896,113481617.55310959,71285550.36656839,101414724.83286233
2022-08-30,83680816.52181257,124710747.52385202,78548722.23957075,110143978.97377202
2022-09-30,82661309.4269194,121222904.3426786,78308222.02904737,107016113.73241973
2022-10-31,86831932.27789555,126102559.71206819,81870969.30573073,110737019.30009341
2022-11-30,89633747.56261447,131172499.52639617,84396349.2436205,115908970.62179151
2022-12-30,89510615.8460593,129482482.35079199,84552345.18456171,114144043.49076177
2023-01-31,87618599.9534451,125902180.71562271,82557700.32260828,110389353.57849845
2023-02-28,87922814.40628122,126339316.92913935,82844343.177486,110772628.78280048
2023-03-31,88358675.90974808,126965621.31891075,83255029.0752805,111321764.12213509
2023-04-28,88754214.14303188,127533983.81446873,83627720.79766512,111820096.78107943
2023-05-31,96350542.80561104,136395692.6489379,91003896.6439039,118828525.42820422
2023-06-30,106206549.94106327,152016767.45434353,99275714.97885787,133587800.96558751
2023-07-31,121140895.85270634,174885907.4525268,112397231.95072132,152621758.39929447
2023-08-31,138331119.49970624,200271972.4808775,126599597.89129755,178145728.42210555
2023-09-29,148866080.2396346,214050575.98130316,136575624.01603505,189650976.38449857
2023-10-31,146329152.08724967,211327211.63608456,134753712.56907004,187318604.90126458
2023-11-30,146884065.33812165,212128612.23421517,135264729.13441014,188028959.430843
2023-12-29,158661700.89986414,226068794.7133092,147446539.8105976,198309937.0698387
2024-01-31,183389831.0202471,262157899.75660458,169211406.94102874,230878481.94856122
2024-02-29,183281190.64692977,262132340.9553729,169993920.70735356,230914604.933998
2024-03-28,177287520.48903245,253269760.91002333,164417183.39122686,223325330.12404191
2024-04-30,200538787.72220767,292413674.9271535,186050297.04202044,260169504.009017
2024-05-31,210479295.5343062,308007857.5824594,195429812.688936,276483707.26171315
2024-06-28,229226848.39686552,333729409.6043167,212403971.38910207,297506139.8046991
2024-07-31,247805168.15247244,360548202.8895775,229160039.50045198,322450567.5047803
2024-08-30,249867567.58492664,358139662.3476985,233249141.48042583,321355409.38391775
2024-09-30,251427052.7907111,355755170.1395693,233514669.0100065,317830813.9849798
2024-10-31,240585376.47325495,342973042.78842235,223279379.07820794,309195367.90114623
2024-11-29,241459210.37494567,344218760.53132033,224090355.59659445,310318401.2237796
2024-12-31,242694912.1193105,345980348.8433634,225237169.76398966,311906499.64050716
2025-01-31,243898028.39799643,347695484.0563927,226353742.4318789,313452719.8882599
2025-02-28,244989839.63510102,349251945.3327579,227367016.54963654,314855893.1903275
2025-03-28,246086538.3728767,350815374.1189583,228384826.5960989,316265347.80753684
2025-04-30,246005139.5934186,349109475.1091609,227033319.00925833,318346799.75128275
2025-05-30,268491008.3429837,377482119.3736816,245061036.21524566,344059066.0179832
2025-06-30,285560073.95373076,400186221.8984007,259506988.68006054,364074980.4118092
2025-07-31,279825099.17001873,391264836.69719,256526918.36003155,355031184.7610151
2025-08-29,273554343.7941276,384269742.8506059,252000963.41838878,346827110.2253906
2025-09-30,274679342.63743603,385850061.44554925,253037323.46453637,348253445.0896808
2025-10-31,276041015.9649073,387762843.571896,254291710.3831449,349979848.7676033
2025-11-28,276346976.3333776,386748495.41302973,256424012.86165243,350985313.9170011
2025-12-31,276563855.1421465,386902355.896375,258806933.91780984,352394581.05128545
2026-01-30,268642111.8194618,375563430.4337741,249777552.46412736,342412995.57246864
2026-02-27,269574845.4296691,376867398.1250561,250644787.74857596,343601863.94228286
2026-03-30,270911214.1323687,378735650.3172049,251887314.10265067,345305208.2451604
2026-04-30,272254207.6420183,380613164.03282547,253136000.05714813,347016996.5703749
2026-05-29,273516582.98276514,382377973.0207197,254309729.0036906,348626028.44938433
2026-06-18,274390595.41045195,383599848.1145412,255122366.61859122,349740050.4152812
